----------------------------------------------------------------------------------------------------------------------
time (s)	T (K)	B (T)	R1 (Ohm)	Theta1 (deg.)	 X1 (Ohm)	 R2 (Ohm)	 Theta2 (deg.)	 X2 (Ohm)
1656490541.8277569	1.90400	1.039674	2798.480000000	-10.76	2749.294879542	58.937400000	2.30	58.890002270
1656490543.0285580	1.90900	1.045426	2806.720000000	-10.76	2757.335177739	58.923000000	2.36	58.873107428
1656490544.1269779	1.90100	1.051178	2807.940000000	-10.77	2758.478779079	58.942200000	2.41	58.890238880
1656490545.2270579	1.90600	1.056930	2812.520000000	-10.77	2762.978103427	59.104200000	2.39	59.052614435
1656490546.8274369	1.90200	1.064120	2819.540000000	-10.78	2769.764037728	59.132800000	2.41	59.080670854
1656490547.9324920	1.90900	1.069872	2822.590000000	-10.78	2772.760193241	59.152000000	2.41	59.099593562
1656490549.5312350	1.91000	1.078500	2831.135000000	-10.79	2781.043354362	59.266400000	2.49	59.210441814
1656490550.6306610	1.90700	1.082814	2832.965000000	-10.79	2782.840975930	59.438000000	2.48	59.382149883
1656490552.2330379	1.91000	1.091442	2841.510000000	-10.80	2791.179045818	59.481000000	2.48	59.425109479
1656490553.3312459	1.90300	1.097194	2842.730000000	-10.80	2792.377436264	59.581200000	2.59	59.520523950
1656490555.0325780	1.90200	1.105822	2851.275000000	-10.81	2800.659120962	59.729000000	2.62	59.666754205
1656490556.6293271	1.90400	1.113012	2856.465000000	-10.81	2805.756988000	59.829000000	2.62	59.766649992
1656490557.8660369	1.90500	1.120202	2861.650000000	-10.82	2810.793713936	59.895800000	2.64	59.832230013
1656490559.4408391	1.91100	1.127392	2868.670000000	-10.82	2817.632558145	59.929200000	2.71	59.862078523
1656490560.7822621	1.90400	1.134582	2870.500000000	-10.83	2819.373534422	60.010200000	2.74	59.941793169
1656490561.8457789	1.90200	1.138896	2873.860000000	-10.83	2822.673689473	60.110400000	2.77	60.040368350
1656490562.9398971	1.90700	1.144648	2879.660000000	-10.84	2828.313708893	60.205800000	2.78	60.135047389
1656490564.5366240	1.90800	1.153276	2886.675000000	-10.85	2835.089903676	60.291600000	2.79	60.220133233
1656490565.6363311	1.90600	1.159028	2887.285000000	-10.85	2835.689002930	60.396400000	2.78	60.325116534
1656490567.2354350	1.90800	1.166218	2895.220000000	-10.85	2843.425127295	60.530000000	3.01	60.446713666
1656490568.3331480	1.90100	1.171970	2897.055000000	-10.85	2845.227299533	60.573000000	2.96	60.492294395
1656490569.9408619	1.90300	1.179160	2903.460000000	-10.86	2851.460445128	60.725600000	2.90	60.647617563
1656490571.5386059	1.90700	1.187788	2910.480000000	-10.87	2858.297280221	60.830400000	2.90	60.752282981
1656490572.8660750	1.90700	1.194978	2912.920000000	-10.87	2860.636013203	60.873400000	2.98	60.791304281
1656490574.4468610	1.90500	1.202168	2919.635000000	-10.88	2867.172802010	60.968600000	2.98	60.886375891
1656490575.8750610	1.90800	1.209358	2924.825000000	-10.88	2872.211726457	61.092600000	3.02	61.007867230
1656490576.9501939	1.89500	1.215110	2925.130000000	-10.88	2872.511239958	61.126000000	3.05	61.039527459
1656490578.0512581	1.90500	1.220862	2930.315000000	-10.89	2877.545011670	61.202400000	2.99	61.118859329
1656490579.6443701	1.90300	1.228052	2935.200000000	-10.89	2882.342041130	61.250000000	3.07	61.161982463
1656490580.7410951	1.91000	1.233804	2940.390000000	-10.90	2887.380389314	61.369200000	3.07	61.281355239
1656490582.5456491	1.90600	1.242432	2945.270000000	-10.90	2892.114095208	61.369200000	3.13	61.277884308
1656490584.1460240	1.90800	1.251060	2950.765000000	-10.91	2897.451464449	61.588600000	3.16	61.495190887
1656490585.2450950	1.90700	1.256812	2952.900000000	-10.91	2899.547889910	61.569600000	3.17	61.475151764
1656490586.8468311	1.90100	1.264002	2956.560000000	-10.91	2903.083157877	61.703000000	3.19	61.607630248
1656490587.9887900	1.90100	1.269754	2960.530000000	-10.91	2906.981350417	61.765000000	3.22	61.667365388
1656490589.0509801	1.90500	1.275506	2964.190000000	-10.92	2910.516362678	61.831800000	3.24	61.732964966
1656490590.1463950	1.90500	1.281258	2967.855000000	-10.93	2914.056107172	61.898600000	3.25	61.798924127
1656490591.7521150	1.90400	1.289886	2972.125000000	-10.93	2918.248704040	62.022600000	3.34	61.917499666
1656490592.8488431	1.90300	1.294200	2976.400000000	-10.93	2922.387116609	62.108400000	3.35	62.002395964
1656490594.6520350	1.90400	1.304266	2980.975000000	-10.94	2926.819877257	62.141800000	3.34	62.036118657
1656490595.7521031	1.90800	1.308580	2982.805000000	-10.94	2928.616631801	62.318200000	3.33	62.212978169
1656490597.6550410	1.90100	1.318646	2989.825000000	-10.94	2935.449675462	62.275200000	3.34	62.169671623
1656490599.2541389	1.90500	1.327274	2994.405000000	-10.95	2939.886832098	62.451600000	3.43	62.339987298
1656490600.3548460	1.90400	1.331588	2998.065000000	-10.96	2943.420542735	62.480200000	3.42	62.368926842
1656490601.9599230	1.90100	1.340216	3001.120000000	-10.96	2946.419860547	62.594800000	3.41	62.484103441
1656490603.0616341	1.90200	1.345968	3003.865000000	-10.96	2949.055027933	62.785400000	3.41	62.674366372
1656490604.1620560	1.90600	1.351720	3007.830000000	-10.96	2952.947680627	62.818800000	3.48	62.702965121
1656490605.2611330	1.90500	1.357472	3011.190000000	-10.97	2956.186393535	62.766400000	3.50	62.649060349
1656490606.8618679	1.90300	1.364662	3014.545000000	-10.97	2959.480109757	62.842600000	3.58	62.719831036
1656490607.9649341	1.90200	1.370414	3018.210000000	-10.97	2963.018012162	62.899800000	3.64	62.773187671
1656490609.5636740	1.90100	1.377604	3022.480000000	-10.97	2967.209929527	63.038200000	3.62	62.912144985
1656490610.6627400	1.90000	1.383356	3024.615000000	-10.98	2969.245576767	63.157400000	3.63	63.030688229
1656490612.2641201	1.90200	1.391984	3029.195000000	-10.99	2973.681298665	63.190800000	3.64	63.063181910
1656490614.3648770	1.90600	1.402050	3034.685000000	-10.99	2979.070687704	63.276600000	3.68	63.146270664
1656490615.4699330	1.90300	1.407802	3037.435000000	-10.99	2981.709658118	63.362400000	3.68	63.231893943
1656490616.5646629	1.90900	1.413554	3040.790000000	-11.00	2984.942374490	63.405400000	3.67	63.275230968
1656490617.8635640	1.90400	1.419306	3043.535000000	-11.00	2987.636959390	63.462600000	3.67	63.332313538
1656490619.4659309	1.90700	1.427934	3047.810000000	-11.00	2991.772538874	63.558000000	3.76	63.421481787
1656490620.8276670	1.90200	1.435124	3050.555000000	-11.00	2994.467068920	63.629400000	3.77	63.491854044
1656490621.8844919	1.90500	1.439438	3053.000000000	-11.00	2996.867114808	63.724800000	3.76	63.587486015
1656490622.9779329	1.90200	1.445190	3056.660000000	-11.01	3000.398706584	63.825000000	3.76	63.687908289
1656490624.5813050	1.90300	1.453818	3060.015000000	-11.01	3003.691954005	63.848800000	3.80	63.708574057
1656490625.6733999	1.89900	1.458132	3062.155000000	-11.02	3005.731307097	63.891800000	3.83	63.749254941
1656490627.2831089	1.91200	1.466760	3066.730000000	-11.02	3010.160625198	64.063400000	3.85	63.919125291
1656490629.3785269	1.90800	1.476826	3071.615000000	-11.03	3014.894002582	64.149200000	3.89	64.001104894
1656490630.4835811	1.89500	1.482578	3073.445000000	-11.03	3016.690209472	64.154000000	3.85	64.009070281
1656490631.5786641	1.90300	1.488330	3076.495000000	-11.03	3019.683887621	64.306600000	3.92	64.156306599
1656490632.7884450	1.90600	1.494082	3078.940000000	-11.03	3022.083737809	64.373400000	3.92	64.222489511
1656490634.3802030	1.90600	1.502710	3083.515000000	-11.03	3026.512470377	64.411400000	3.94	64.259012481
1656490635.4826291	1.90500	1.508462	3085.955000000	-11.04	3028.845497244	64.502000000	3.93	64.350325440
1656490637.0800121	1.91000	1.515652	3089.620000000	-11.04	3032.442671780	64.602200000	3.97	64.447026845
1656490638.1810760	1.90300	1.521404	3091.450000000	-11.04	3034.238805314	64.573600000	4.04	64.413300340
1656490639.7808161	1.90600	1.530032	3094.805000000	-11.05	3037.469639298	64.740400000	3.98	64.583954244
1656490641.9823079	1.91000	1.540098	3100.300000000	-11.05	3042.800616060	64.893000000	4.03	64.732863094
1656490643.0800271	1.90700	1.545850	3102.435000000	-11.06	3044.833722184	64.945600000	4.09	64.780522786
1656490644.1810949	1.90600	1.551602	3105.185000000	-11.06	3047.532664381	64.926400000	4.10	64.760401248
1656490645.2785280	1.90500	1.557354	3107.320000000	-11.06	3049.628024960	65.055200000	4.19	64.880991363
1656490646.8830130	1.90400	1.564544	3110.980000000	-11.06	3053.157569273	65.179200000	4.02	65.018835696
