------------------------------------------------------------------------------------------------------------------
time (s)	 T (K)	 R1 (Ohm)	 Theta1 (deg.)	 X1 (Ohm)	 R2 (Ohm)	 Theta2 (deg.)	 X2 (Ohm)
1653748667.1558270	302.37000	94652.800000000	-0.43	94650.109557954	7041.975000000	-1.15	7040.551657078
1653748668.3582721	302.19000	94643.200000000	-0.44	94640.434585336	7041.225000000	-1.15	7039.801808670
1653748670.0487690	302.17000	94633.700000000	-0.44	94630.934862920	7040.450000000	-1.15	7039.026965315
1653748671.7510209	302.19000	94633.700000000	-0.44	94630.934862920	7039.700000000	-1.15	7038.291899515
1653748672.9574530	302.16000	94633.700000000	-0.44	94630.934862920	7039.700000000	-1.15	7038.277116907
1653748674.1532669	302.17000	94624.200000000	-0.44	94621.435140504	7038.925000000	-1.15	7037.517054533
1653748675.3550661	302.22000	94605.100000000	-0.44	94602.335698594	7038.175000000	-1.15	7036.767204550
1653748677.0568769	302.20000	94605.100000000	-0.44	94602.335698594	7037.400000000	-1.15	7035.977581790
1653748678.2673090	302.20000	94605.100000000	-0.44	94602.335698594	7036.650000000	-1.15	7035.242509585
1653748679.9548149	302.22000	94605.100000000	-0.44	94602.335698594	7035.875000000	-1.15	7034.452890027
1653748682.1523149	302.16000	94605.100000000	-0.44	94602.335698594	7035.875000000	-1.15	7034.467664602
1653748683.3517671	301.98000	94605.100000000	-0.44	94602.335698594	7035.100000000	-1.15	7033.692819620
1653748685.0525980	301.96000	94605.100000000	-0.44	94602.335698594	7034.350000000	-1.15	7032.942969637
1653748686.7519331	302.03000	94605.100000000	-0.44	94602.335698594	7034.350000000	-1.15	7032.942969637
1653748687.9623539	301.91000	94605.100000000	-0.44	94602.335698594	7033.575000000	-1.15	7032.168124655
1653748689.1531811	302.00000	94605.100000000	-0.44	94602.335698594	7032.825000000	-1.15	7031.418274672
1653748690.3533461	302.00000	94586.000000000	-0.44	94583.236256684	7032.050000000	-1.15	7030.643429690
1653748692.0538070	301.98000	94586.000000000	-0.44	94583.236256684	7032.050000000	-1.15	7030.643429690
1653748693.3549891	302.10000	94557.400000000	-0.44	94554.637092358	7031.300000000	-1.15	7029.893579707
1653748695.0544620	302.10000	94528.800000000	-0.44	94526.037928032	7030.525000000	-1.15	7029.118734724
1653748697.2546000	302.08000	94519.300000000	-0.44	94516.538205616	7029.775000000	-1.15	7028.368884742
1653748698.4577529	302.06000	94490.600000000	-0.44	94487.839044212	7029.000000000	-1.15	7027.594039759
1653748700.1548769	302.02000	94462.000000000	-0.44	94459.239879886	7028.250000000	-1.15	7026.844189776
1653748701.8910770	301.94000	94462.000000000	-0.43	94459.314981316	7028.250000000	-1.15	7026.844189776
1653748703.0566180	301.91000	94452.500000000	-0.44	94449.740157470	7026.725000000	-1.15	7025.319494811
1653748704.7580831	301.75000	94443.000000000	-0.44	94440.240435054	7026.725000000	-1.15	7025.319494811
1653748705.9628761	301.88000	94443.000000000	-0.44	94440.240435054	7026.725000000	-1.15	7025.319494811
1653748707.1570489	301.86000	94443.000000000	-0.43	94440.315521378	7025.950000000	-1.15	7024.544649829
1653748708.3575060	301.87000	94433.400000000	-0.44	94430.640715560	7025.200000000	-1.15	7023.794799846
1653748710.0599649	301.74000	94423.900000000	-0.44	94421.140993144	7023.675000000	-1.15	7022.270104881
1653748712.2622709	301.81000	94423.900000000	-0.43	94421.216064283	7023.675000000	-1.15	7022.270104881
1653748713.4640679	301.81000	94423.900000000	-0.44	94421.140993144	7022.900000000	-1.15	7021.495259898
1653748715.1619079	301.75000	94423.900000000	-0.44	94421.140993144	7022.150000000	-1.14	7020.760078679
1653748717.1575770	301.78000	94423.900000000	-0.44	94421.140993144	7021.375000000	-1.14	7019.985232078
1653748718.3620219	301.69000	94423.900000000	-0.43	94421.216064283	7020.625000000	-1.14	7019.235380528
1653748720.2639580	301.58000	94423.900000000	-0.44	94421.140993144	7019.850000000	-1.14	7018.460533927
1653748721.9694159	301.51000	94423.900000000	-0.44	94421.140993144	7019.100000000	-1.14	7017.710682377
1653748723.2679551	301.45000	94414.400000000	-0.43	94411.716334314	7018.325000000	-1.14	7016.935835776
1653748724.9727831	301.58000	94385.700000000	-0.43	94383.017150092	7017.575000000	-1.15	7016.171325020
1653748727.1709130	301.57000	94366.700000000	-0.43	94364.091680999	7017.575000000	-1.15	7016.171325020
1653748728.3723609	301.47000	94357.100000000	-0.43	94354.417963028	7016.800000000	-1.15	7015.396480037
1653748730.0739250	301.42000	94328.500000000	-0.43	94325.818775963	7016.050000000	-1.15	7014.646630054
1653748731.7767091	301.50000	94299.900000000	-0.43	94297.293527368	7015.275000000	-1.14	7013.886439474
1653748732.9811821	301.33000	94280.800000000	-0.43	94278.194055296	7014.525000000	-1.15	7013.121935089
1653748734.6800089	301.26000	94280.800000000	-0.43	94278.120131804	7013.750000000	-1.15	7012.347090107
1653748735.8808119	301.19000	94271.300000000	-0.43	94268.694317879	7013.750000000	-1.15	7012.347090107
1653748737.5822849	301.18000	94261.800000000	-0.43	94259.194580461	7012.975000000	-1.14	7011.586894722
1653748739.2847619	301.18000	94261.800000000	-0.43	94259.120671866	7012.225000000	-1.15	7010.822395142
1653748740.4889469	301.33000	94242.700000000	-0.43	94240.021214770	7011.450000000	-1.14	7010.062196571
