-----------------------------------------------------------------------------------
time (s) 	 Gate (V) 	 I (A) 	 RLkin (V/A) 	 pLkin (deg.) 	 XLkin (V)
1653951817.8643575	61.0	1.247005e-10	1264.05	2.382	1262.9577804298287
1653951819.9608018	62.0	3.305033e-10	1260.6899999999998	2.376	1259.6061637261196
1653951822.0572474	63.0	5.798568e-10	1257.335	2.382	1256.2485826167785
1653951824.1560352	64.0	4.510188e-10	1254.2800000000002	2.382	1253.1962223310202
1653951826.2644649	65.0	1.511182e-09	1250.6200000000001	2.382	1249.5393848037284
1653951828.3635485	66.0	-3.137523e-11	1247.26	2.388	1246.1768527271138
1653951830.4619873	67.0	1.381643e-09	1243.9	2.388	1242.8197706230112
1653951832.5598598	68.0	-3.607244e-11	1240.24	2.388	1239.1629490453279
1653951834.865419	69.0	1.376537e-09	1236.88	2.382	1235.8112570373378
1653951836.9618645	70.0	8.728922e-11	1233.525	2.394	1232.4483915040094
1653951839.0613015	71.0	5.189687e-11	1230.17	2.388	1229.101694048806
1653951841.1710656	72.0	3.972915e-10	1226.81	2.388	1225.7446119447031
1653951843.2706738	73.0	1.991143e-09	1223.76	2.388	1222.697260629967
1653951845.3681161	74.0	1.522884e-09	1220.1	2.394	1219.0351087120582
1653951847.466556	75.0	2.669944e-09	1216.74	2.394	1215.6780412870337
1653951849.692032	76.0	3.961792e-10	1213.385	2.394	1212.3259694980582
1653951851.792455	77.0	1.986858e-09	1210.025	2.394	1208.9689020730339
1653951853.8918858	78.0	2.067118e-09	1206.67	2.4	1205.6115453953896
1653951855.9913342	79.0	1.816158e-09	1203.3149999999998	2.394	1202.2647584950826
1653951858.0887754	80.0	2.034404e-09	1199.9550000000002	2.394	1198.9076910700583
1653951860.1852233	81.0	2.52351e-09	1196.6000000000001	2.394	1195.5556192810827
1653951862.2856522	82.0	7.299218e-11	1193.24	2.4	1192.1933257871617
1653951864.3847334	83.0	9.201423e-10	1189.885	2.4	1188.8412686921802
1653951866.482177	84.0	1.961971e-09	1186.53	2.4	1185.4892115971984
1653951868.5796208	85.0	2.844061e-09	1183.17	2.406	1182.1269639595203
1653951870.755853	86.0	2.158174e-09	1179.51	2.406	1178.4701904712708
1653951872.878231	87.0	2.531048e-09	1176.455	2.4	1175.4230490839523
