----------------------------------------------------------------------------------------------------------------------
time (s)	T (K)	B (T)	R1 (Ohm)	Theta1 (deg.)	 X1 (Ohm)	 R2 (Ohm)	 Theta2 (deg.)	 X2 (Ohm)	 I_leak(nA)
1701254660.3163791	4.99700	1.485454	1571.360000000	-7.36	1558.427358165	759.931000000	-111.43	-277.676300197	0.004676586
1701254661.5231569	4.99200	1.492644	1571.665000000	-7.33	1558.814000788	759.206000000	-111.42	-277.263368839	-0.000103195
1701254663.2835009	4.99300	1.501272	1571.512500000	-7.37	1558.536428168	763.135000000	-111.50	-279.739482714	0.010198120
1701254664.4962530	4.98900	1.507024	1571.512500000	-7.39	1558.473037651	764.470000000	-111.53	-280.601223302	0.003110817
1701254666.2033370	4.99200	1.515652	1571.970000000	-7.36	1559.011252695	762.372000000	-111.49	-279.311230141	-0.000391614
1701254667.4091630	4.98100	1.521404	1572.275000000	-7.36	1559.313738386	761.571000000	-111.48	-278.869347994	0.009415229
1701254669.6302299	4.99300	1.532908	1572.580000000	-7.36	1559.616224077	761.876000000	-111.50	-279.203744462	0.007025311
1701254670.8333731	4.99000	1.538660	1572.732500000	-7.37	1559.746354556	761.609000000	-111.50	-279.180102721	0.008673520
1701254672.5936649	4.99500	1.547288	1573.342500000	-7.31	1560.561753268	761.533000000	-111.49	-278.929640479	0.012134750
1701254673.8060069	4.98900	1.553040	1573.952500000	-7.26	1561.333979099	761.571000000	-111.47	-278.795134043	0.004182141
1701254675.5227759	4.99100	1.561668	1573.952500000	-7.30	1561.208696037	763.555000000	-111.51	-279.967832460	0.003811330
1701254676.7341800	4.99000	1.568858	1573.647500000	-7.35	1560.717121953	762.372000000	-111.52	-279.682613596	0.009868502
1701254678.4916401	4.99100	1.577486	1573.952500000	-7.36	1560.998521315	761.952000000	-111.53	-279.602759623	0.005459504
1701254679.6926730	4.98900	1.583238	1574.105000000	-7.36	1561.128652534	762.296000000	-111.53	-279.728992443	0.005830305
1701254681.4286690	4.98400	1.591866	1574.565000000	-7.31	1561.753339687	763.822000000	-111.54	-280.437775373	0.007643372
1701254682.6414299	4.99900	1.597618	1574.717500000	-7.31	1561.925583719	762.944000000	-111.53	-279.966779847	0.007190221
1701254684.3917520	4.99300	1.606246	1574.412500000	-7.37	1561.412482696	761.838000000	-111.55	-279.783554675	0.004223316
1701254685.5928230	4.99100	1.611998	1574.412500000	-7.40	1561.306551261	763.249000000	-111.58	-280.747739422	0.011805140
