----------------------------------------------------------------------------------------------------------------------
time (s)	T (K)	B (T)	R1 (Ohm)	Theta1 (deg.)	 X1 (Ohm)	 R2 (Ohm)	 Theta2 (deg.)	 X2 (Ohm)	 I_leak(nA)
1701364883.5693841	4.98400	1.511338	887.302500000	8.93	876.537643883	9.756130000	-94.95	-0.841821002	0.015802070
1701364885.3320639	4.99100	1.519966	887.302500000	8.93	876.537643883	9.808610000	-95.29	-0.903640592	0.024908390
1701364886.5468020	4.98700	1.525718	887.455000000	8.93	876.688293736	9.811000000	-95.45	-0.931479104	0.024043100
1701364888.2642281	4.98400	1.534346	887.455000000	8.93	876.688293736	9.815770000	-95.62	-0.961602227	0.022436060
1701364889.4726541	4.98800	1.541536	887.455000000	8.93	876.688293736	9.827690000	-95.96	-1.020108449	0.021859200
1701364891.2343211	4.99500	1.550164	887.607500000	8.93	876.838943588	9.837230000	-96.53	-1.118382392	0.028039990
1701364892.4490681	4.98800	1.555916	887.607500000	8.93	876.838943588	9.839610000	-96.61	-1.132983856	0.022559720
1701364894.1731269	4.98900	1.564544	887.760000000	8.93	877.004025940	9.849150000	-97.10	-1.218051809	0.022147660
1701364895.4367621	4.99000	1.570296	887.760000000	8.93	877.004025940	9.856300000	-97.36	-1.261941612	0.016708600
1701364897.1591721	4.99600	1.578924	887.760000000	8.93	877.004025940	9.863450000	-97.70	-1.321224845	0.021447190
