-----------------------------------------------------------------------------------
time (s) 	 Gate (V) 	 I (A) 	 RLkin (V/A) 	 pLkin (deg.) 	 XLkin (V)
1653838068.3522394	99.0	1.447519e-09	870.7475000000001	2.466	869.9411268144178
1653838070.449815	98.0	-9.802505e-10	872.96	2.478	872.1436921155027
1653838072.5485823	97.0	1.163186e-09	875.4775	2.478	874.6588379926343
1653838074.6465175	96.0	-1.326978e-09	877.5375	2.46	876.7287879367973
1653838076.744927	95.0	-8.156421e-10	879.6750000000001	2.478	878.8524128960146
1653838078.845373	94.0	-1.29418e-09	882.1925	2.478	881.3675587731461
1653838080.9441519	93.0	-1.127471e-09	884.48	2.46	883.6648899384224
1653838083.061023	92.0	3.3969e-10	886.7700000000001	2.478	885.9407783372257
1653838085.1580787	91.0	-4.587787e-10	889.21	2.46	888.3905309132424
1653838087.2538342	90.0	1.30216e-09	891.27	2.46	890.4486324794431
1653838089.3514104	89.0	-9.681363e-10	893.635	2.478	892.7993588522238
1653838091.4510212	88.0	-1.19253e-09	896.2299999999999	2.472	895.395985156093
1653838093.5492928	87.0	-5.022899e-10	898.5174999999999	2.46	897.6894534022775
1653838095.6481142	86.0	9.168835e-10	900.8075	2.472	899.9692254203691
1653838097.746175	85.0	-1.005467e-09	903.5550000000001	2.472	902.7141686483534
1653838099.8452923	84.0	3.512749e-11	905.995	2.454	905.1641296417837
1653838101.9427016	83.0	1.211558e-09	908.2075000000001	2.466	907.3664362301417
1653838104.069394	82.0	1.026233e-09	910.8774999999999	2.454	910.0421519961852
1653838106.1674452	81.0	-1.21544e-09	913.2425	2.466	912.3967734674126
1653838108.2668478	80.0	2.548588e-11	916.0649999999999	2.466	915.2166596346812
1653838110.3667915	79.0	7.648499e-10	918.5849999999999	2.454	917.7425835981411
1653838112.4650898	78.0	-1.152935e-09	920.9499999999999	2.46	920.1012802876154
1653838114.5656714	77.0	-9.440323e-10	923.8475	2.466	922.9919524944748
1653838116.6644444	76.0	8.720973e-10	926.365	2.454	925.51544871176
1653838118.7624767	75.0	6.064287e-10	928.8075	2.46	927.9515390528687
1653838120.8588345	74.0	5.140554e-10	931.63	2.466	930.7672453542685
1653838122.9558878	73.0	2.724492e-10	934.53	2.454	933.6729607493818
1653838125.0829682	72.0	-2.538323e-10	937.1999999999999	2.466	936.3320871440598
1653838127.1825514	71.0	-1.514866e-09	939.9449999999999	2.448	939.0872041494644
1653838129.2800055	70.0	7.083214e-10	942.4649999999999	2.454	941.6006837155212
1653838131.3787658	69.0	-1.417172e-09	945.3625000000001	2.466	944.4870280972325
1653838133.4781616	68.0	-6.866748e-10	948.2625	2.448	947.3971135808813
1653838135.5782206	67.0	1.032537e-09	950.78	2.448	949.912316104908
