----------------------------------------------------------------------------------------------------------------------
time (s)	T (K)	B (T)	R1 (Ohm)	Theta1 (deg.)	 X1 (Ohm)	 R2 (Ohm)	 Theta2 (deg.)	 X2 (Ohm)	 I_leak(nA)
1701278594.0081789	4.97800	0.970650	1008.457500000	8.43	997.561831169	17.295000000	-75.98	4.190482419	0.024166680
1701278595.7093899	4.99500	0.979278	1008.610000000	8.43	997.712683514	17.275900000	-76.21	4.119123231	0.022724510
1701278596.9191689	4.99000	0.986468	1008.610000000	8.43	997.712683514	17.261600000	-76.37	4.068298847	0.013000070
1701278598.6189849	4.98500	0.995096	1008.762500000	8.42	997.879016930	17.242500000	-76.63	3.988301429	0.021900410
1701278599.8686540	4.98900	1.000848	1008.915000000	8.42	998.029871616	17.242500000	-76.67	3.976003715	0.016873400
1701278601.6130049	4.98400	1.009476	1009.067500000	8.42	998.180726302	17.261600000	-77.00	3.881840909	0.016337690
1701278602.8676560	4.98400	1.015228	1009.067500000	8.42	998.180726302	17.256800000	-77.28	3.799718134	0.023754650
1701278604.6000390	4.99300	1.023856	1009.220000000	8.42	998.331580988	17.242500000	-77.50	3.733135254	0.022271230
1701278605.8134460	4.98400	1.029608	1009.372500000	8.42	998.482435674	17.237700000	-77.55	3.716233556	0.019716530
1701278607.5697670	4.98900	1.039674	1009.527500000	8.42	998.651245247	17.228200000	-77.68	3.675418080	0.017779850
1701278608.7788961	4.99400	1.045426	1009.527500000	8.42	998.651245247	17.252000000	-77.99	3.588659616	0.021982820
1701278610.5159090	4.97800	1.054054	1009.680000000	8.42	998.786618073	17.252000000	-78.27	3.507331383	0.022353670
1701278611.7745531	4.98900	1.059806	1009.680000000	8.42	998.786618073	17.247300000	-78.32	3.492227327	0.023631010
1701278613.5082819	4.99400	1.068434	1009.832500000	8.42	998.937472759	17.237700000	-78.47	3.446078183	0.019634130
1701278614.7220480	4.98900	1.075624	1009.985000000	8.42	999.088327445	17.228200000	-78.63	3.396437028	0.021405940
1701278616.4820011	4.98500	1.084252	1009.985000000	8.42	999.088327445	17.213900000	-78.90	3.314053880	0.018521570
1701278617.6947680	4.99100	1.090004	1010.290000000	8.42	999.390036817	17.204400000	-79.13	3.243247960	0.020334620
1701278619.4005780	4.97800	1.098632	1010.290000000	8.42	999.390036817	17.209100000	-79.54	3.125477028	0.020499440
1701278620.6070969	5.00100	1.104384	1010.442500000	8.42	999.540891503	17.228200000	-79.60	3.109428438	0.018603990
1701278622.3746440	4.99100	1.113012	1010.442500000	8.42	999.540891503	17.218700000	-79.76	3.061590682	0.021282350
1701278623.5830660	4.99300	1.118764	1010.595000000	8.42	999.707244419	17.213900000	-79.90	3.019928412	0.018068320
1701278625.8091309	4.99100	1.130268	1010.747500000	8.42	999.858101443	17.199600000	-80.16	2.939366958	0.019222100
1701278627.0212440	4.98700	1.136020	1010.900000000	8.42	1000.008958468	17.190100000	-80.33	2.886293800	0.020787890
1701278628.7855489	4.99400	1.146086	1010.900000000	8.42	1000.008958468	17.175700000	-80.63	2.795181831	0.015966840
1701278629.9963281	4.98600	1.151838	1011.052500000	8.42	1000.159815493	17.166200000	-80.78	2.749284379	0.022106440
1701278631.7183740	4.99400	1.160466	1011.205000000	8.42	1000.310672517	17.156700000	-81.10	2.655503021	0.025650060
1701278632.9191711	4.98000	1.166218	1011.205000000	8.42	1000.310672517	17.190100000	-81.29	2.601968042	0.017985940
1701278634.6226339	4.99000	1.174846	1011.357500000	8.41	1000.477028494	17.194800000	-81.48	2.547489297	0.017779900
1701278635.8324039	4.98800	1.180598	1011.357500000	8.41	1000.477028494	17.185300000	-81.61	2.508700323	0.018768810
1701278637.5787480	4.99600	1.189226	1011.510000000	8.41	1000.627887856	17.175700000	-81.85	2.436102434	0.012052370
1701278638.7928641	4.99200	1.194978	1011.510000000	8.42	1000.612386566	17.175700000	-81.87	2.428980414	0.021282370
1701278640.5092900	4.98300	1.203606	1011.662500000	8.42	1000.763243591	17.166200000	-82.12	2.352871600	0.024702360
1701278641.7187090	4.99400	1.209358	1011.662500000	8.42	1000.763243591	17.204400000	-82.19	2.338474886	0.015925640
1701278643.4191749	4.98500	1.217986	1011.815000000	8.42	1000.914100616	17.204400000	-82.44	2.263485860	0.014648290
1701278644.6303000	4.98800	1.225176	1011.967500000	8.42	1001.064957640	17.194800000	-82.62	2.208662262	0.018851210
1701278646.3926139	4.98700	1.233804	1012.120000000	8.42	1001.215814665	17.194800000	-82.79	2.156866309	0.021611940
1701278647.6060090	4.99300	1.239556	1012.120000000	8.42	1001.215814665	17.185300000	-83.05	2.078879740	0.022353650
1701278649.3862650	4.98600	1.248184	1012.272500000	8.42	1001.366671689	17.175700000	-83.35	1.990205573	0.019510480
1701278650.5934150	4.99200	1.253936	1012.272500000	8.42	1001.366671689	17.171000000	-83.47	1.952149544	0.019510560
1701278652.7961731	4.99300	1.265440	1012.425000000	8.41	1001.533044026	17.185300000	-83.74	1.873295145	0.017409010
1701278654.0019550	4.97800	1.271192	1012.425000000	8.41	1001.533044026	17.204400000	-84.01	1.796557713	0.024290280
1701278655.7227230	4.99500	1.279820	1012.577500000	8.41	1001.683903387	17.204400000	-84.32	1.703358421	0.022683290
1701278656.9281540	4.99000	1.285572	1012.730000000	8.41	1001.834762749	17.199600000	-84.50	1.649106219	0.022930530
1701278658.6864660	4.98600	1.295638	1012.730000000	8.41	1001.834762749	17.194800000	-84.71	1.585903179	0.016008040
1701278659.8982360	4.99800	1.301390	1012.882500000	8.41	1001.985622111	17.194800000	-84.75	1.573352033	0.019428080
1701278661.6199989	4.98900	1.310018	1013.035000000	8.41	1002.136481472	17.185300000	-85.03	1.490028666	0.020046160
1701278662.8337641	4.97900	1.315770	1013.035000000	8.41	1002.136481472	17.190100000	-85.09	1.470716855	0.020829060
1701278664.5910759	4.99400	1.324398	1013.187500000	8.41	1002.287340834	17.223400000	-85.30	1.412458083	0.020375830
1701278665.8068421	5.00500	1.330150	1013.187500000	8.41	1002.287340834	17.228200000	-85.48	1.357104640	0.025444060
1701278667.5239019	4.97400	1.338778	1013.340000000	8.41	1002.453718537	17.218700000	-85.73	1.282645092	0.020046160
1701278668.7326789	4.98900	1.345968	1013.340000000	8.41	1002.453718537	17.218700000	-85.87	1.239486007	0.022436070
1701278670.4959750	4.98900	1.354596	1013.492500000	8.41	1002.604580234	17.218700000	-86.15	1.156742776	0.021735600
1701278671.7070320	4.98200	1.360348	1013.492500000	8.41	1002.589059557	17.209100000	-86.36	1.093158075	0.018109540
1701278673.4112041	4.98500	1.368976	1013.492500000	8.41	1002.589059557	17.204400000	-86.56	1.033519047	0.024001870
